연월,지역,사업유형,주소,주택명,세대수
2026-01,충북,임대,충청북도 청주시 상당구 지북동  0-0,청주지북 A5 행복주택,488
2026-01,충북,분양,충청북도 청주시 서원구 개신동  70-10,청주 동일하이빌 파크레인,800
2026-01,충북,분양,충청북도 청주시 서원구 개신동  산 104-4,더샵 청주그리니티,1191
2025-09,충북,분양,충청북도 청주시 서원구 모충동  산 62-10,한화 포레나 청주매봉,1849
2025-05,충북,분양,충청북도 청주시 흥덕구 가경동  1416-1,힐스테이트 청주센트럴2차,258
2025-01,충북,분양조합,충청북도 청주시 흥덕구 강내면 월곡리 82-1,청주 흥덕 칸타빌 더뉴,334
2026-07,충북,분양,충청북도 청주시 흥덕구 복대동  100-28,복대자이 더 스카이,715
2026-05,충북,분양,충청북도 청주시 흥덕구 봉명동  산 26-0,월명공원 한라비발디 온더파크,874
2025-09,충북,분양,충청북도 청주시 흥덕구 송절동  510,청주 테크노폴리스 A9 힐데스하임,440
2026-08,충북,분양,충청북도 청주시 흥덕구 송절동  513-2,해링턴 플레이스 테크노폴리스,602
